mapping_id,requirement_id,hazard_id,relationship_type,mapping_rationale,control_role,critical_link,source_status
M001,R011,H001,Preventive,Valid BSC certification supports containment of aerosols released during centrifugation.,Primary,TRUE,Representative Demonstration Mapping
M002,R020,H001,Preventive,Current centrifuge maintenance reduces rotor or tube failure likelihood.,Supporting,TRUE,Representative Demonstration Mapping
M003,R042,H001,Preventive,Task-specific PPE reduces exposure if aerosol containment is breached.,Supporting,FALSE,Representative Demonstration Mapping
M004,R049,H001,Governance,Current centrifugation and containment SOPs standardize safe operation.,Supporting,FALSE,Representative Demonstration Mapping
M005,R015,H002,Preventive,Compliant triple packaging prevents specimen release during transport.,Primary,TRUE,Representative Demonstration Mapping
M006,R038,H002,Mixed,Verified vehicle and specimen conditions prevent and detect transport failures.,Primary,TRUE,Representative Demonstration Mapping
M007,R039,H002,Recovery,Route and security contingencies support response to transport disruption.,Supporting,FALSE,Representative Demonstration Mapping
M008,R014,H002,Detective,Chain-of-custody records reveal packaging or custody deviations.,Supporting,TRUE,Representative Demonstration Mapping
M009,R028,H003,Preventive,Restricted logged access directly limits unauthorized entry to pathogen storage.,Primary,TRUE,Representative Demonstration Mapping
M010,R029,H003,Detective,Inventory reconciliation detects unauthorized removal or unexplained stock changes.,Supporting,TRUE,Representative Demonstration Mapping
M011,R030,H003,Preventive,Controlled escorted visitor access reduces unauthorized storage-area entry.,Supporting,FALSE,Representative Demonstration Mapping
M012,R008,H004,Detective,Negative-pressure verification detects containment performance loss before operation.,Primary,TRUE,Representative Demonstration Mapping
M013,R021,H004,Recovery,Backup equipment capacity supports containment recovery after HVAC failure.,Supporting,TRUE,Representative Demonstration Mapping
M014,R040,H004,Recovery,Tested backup power helps maintain pressure control during an outage.,Primary,TRUE,Representative Demonstration Mapping
M015,R052,H004,Recovery,Available service support shortens restoration time after pressure-system failure.,Supporting,FALSE,Representative Demonstration Mapping
M016,R042,H005,Preventive,Task-specific PPE reduces exposure consequences during sharps handling.,Supporting,FALSE,Representative Demonstration Mapping
M017,R043,H005,Preventive,Observed donning and doffing competency supports safe PPE use after an injury.,Supporting,FALSE,Representative Demonstration Mapping
M018,R044,H005,Preventive,Implemented sharps controls directly reduce needlestick occurrence.,Primary,TRUE,Representative Demonstration Mapping
M019,R034,H005,Corrective,A defined exposure-management pathway enables prompt response after needlestick injury.,Primary,TRUE,Representative Demonstration Mapping
M020,R014,H006,Detective,Documented chain of custody supports traceable specimen identity.,Supporting,TRUE,Representative Demonstration Mapping
M021,R018,H006,Detective,Two-identifier verification directly detects specimen identification errors.,Primary,TRUE,Representative Demonstration Mapping
M022,R045,H006,Governance,Defined result-authorization roles reduce release of misidentified results.,Supporting,FALSE,Representative Demonstration Mapping
M023,R046,H006,Detective,Preserved audit trails support detection and investigation of identity changes.,Supporting,FALSE,Representative Demonstration Mapping
M024,R016,H007,Preventive,Unidirectional workflow reduces transfer of amplicons into clean PCR areas.,Primary,TRUE,Representative Demonstration Mapping
M025,R017,H007,Detective,Defined assay controls reveal contamination affecting PCR runs.,Primary,TRUE,Representative Demonstration Mapping
M026,R026,H007,Preventive,Validated disinfectant concentration supports effective removal of PCR contamination.,Supporting,FALSE,Representative Demonstration Mapping
M027,R027,H007,Preventive,Specified contact times make decontamination procedures reproducible.,Supporting,FALSE,Representative Demonstration Mapping
M028,R048,H007,Detective,Predefined quality-control criteria identify contaminated or invalid PCR runs.,Supporting,TRUE,Representative Demonstration Mapping
M029,R020,H008,Preventive,Preventive maintenance reduces autoclave equipment malfunction.,Supporting,FALSE,Representative Demonstration Mapping
M030,R024,H008,Mixed,Validated cycles and biological indicators prevent and detect sterilization failure.,Primary,TRUE,Representative Demonstration Mapping
M031,R051,H008,Detective,Visible calibration status helps identify equipment unsuitable for use.,Supporting,FALSE,Representative Demonstration Mapping
M032,R052,H008,Corrective,Available service support enables timely correction of autoclave faults.,Supporting,FALSE,Representative Demonstration Mapping
M033,R021,H009,Recovery,Backup equipment capacity supports continued testing during power interruption.,Supporting,TRUE,Representative Demonstration Mapping
M034,R040,H009,Mixed,UPS and generator load testing detects weaknesses and supports continuity.,Primary,TRUE,Representative Demonstration Mapping
M035,R052,H009,Recovery,Service support helps restore failed power-dependent equipment.,Supporting,FALSE,Representative Demonstration Mapping
