requirement_id,criticality_level,failure_disposition,minimum_acceptable_score,evidence_required,incomplete_record_disposition,rationale,approval_status,source_status
R001,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Mission-specific risk assessment is the documented basis for selecting safe controls,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R002,Conditional,CONDITIONAL DEPLOYMENT,4,TRUE,CONDITIONAL DEPLOYMENT,Command and escalation gaps may be managed only through an approved interim structure,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R003,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Documented stop-work authority is necessary to halt unsafe activity without delay,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R004,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Assigned responsibilities support accountability but a minor gap does not independently block deployment,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R005,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Current surveillance supports worker protection and gaps require occupational-health correction,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R006,Conditional,CONDITIONAL DEPLOYMENT,4,TRUE,CONDITIONAL DEPLOYMENT,Pending competency verification requires restricted duties and an approved corrective plan,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R007,Conditional,CONDITIONAL DEPLOYMENT,4,TRUE,CONDITIONAL DEPLOYMENT,Emergency-drill gaps require documented compensating preparation before deployment,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R008,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Unverified negative pressure can invalidate containment and permit uncontrolled release,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R009,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Physical separation is a primary barrier against operator and environmental exposure,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R010,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Pass-box interlock performance supports containment and requires prompt correction when degraded,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R011,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,A valid Class II BSC certification is required when mission work relies on that containment device,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R012,Deployment-blocking,DO NOT DEPLOY,5,TRUE,DO NOT DEPLOY,Verified glovebox integrity is essential where Class III containment is used,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R013,Conditional,CONDITIONAL DEPLOYMENT,4,TRUE,CONDITIONAL DEPLOYMENT,Spill-response capability must be available or replaced by an approved equivalent control,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
R014,Important,CORRECTIVE ACTION REQUIRED,4,TRUE,MANUAL REVIEW REQUIRED,Chain-of-custody gaps affect traceability and require corrective monitoring,Provisional — Expert and institutional approval required,Representative Demonstration Critical-Control Profile
